dim_size,tM,tN,tK,tflops
8192,32,32,32,21.239953882154413
8192,32,32,64,22.640968151924785
8192,32,32,128,20.5427840509842
8192,32,64,32,25.94535231424613
8192,32,64,64,27.286680331381632
8192,32,64,128,25.147786953699118
8192,32,128,32,27.713264342548378
8192,32,128,64,27.293304659102187
8192,32,128,128,23.9159386059425
8192,64,32,32,34.40997682926344
8192,64,32,64,35.947543770035885
8192,64,32,128,30.406720312490684
8192,64,64,32,40.974455416907134
8192,64,64,64,45.0293926016769
8192,64,64,128,36.66568158992339
8192,64,128,32,48.57259186134339
8192,64,128,64,41.55763895648124
8192,64,128,128,43.70554866701556
8192,128,32,32,46.20236076999803
8192,128,32,64,45.205398400218414
8192,128,32,128,39.48365865758561
8192,128,64,32,58.82606118108486
8192,128,64,64,48.57956249359821
8192,128,64,128,62.949369971529975
8192,128,128,32,41.55494353548161
8192,128,128,64,62.77617468484398
8192,128,128,128,26.820650547394628
