dim_size,tM,tN,tK,tflops
256,32,32,32,2.665425871262929
256,32,32,64,3.2065346305217113
256,32,32,128,2.6907622885525226
256,32,64,32,3.255287350717076
256,32,64,64,3.278168253951181
256,32,64,128,3.2609718878934144
256,32,128,32,3.2480048893560594
256,32,128,64,3.2607341753815446
256,32,128,128,3.2439692113874106
256,64,32,32,3.2687888487142156
256,64,32,64,3.2132721896914282
256,64,32,128,3.2493313731012887
256,64,64,32,3.2521402667716144
256,64,64,64,3.2722975822472384
256,64,64,128,3.2659910027360715
256,64,128,32,3.236747754580201
256,64,128,64,3.2530819581227117
256,64,128,128,3.2517615739136705
256,128,32,32,3.2450567122079845
256,128,32,64,3.2646914906709963
256,128,32,128,3.257613246544659
256,128,64,32,3.2374032088823617
256,128,64,64,2.7236173224798446
256,128,64,128,3.2603622689378864
256,128,128,32,2.3518461959508192
256,128,128,64,2.7280555817906897
256,128,128,128,1.6296681641057986
