dim_size,tM,tN,tK,tflops
512,32,32,32,7.862961056844183
512,32,32,64,8.27897405165083
512,32,32,128,9.153544174741873
512,32,64,32,10.17446327275312
512,32,64,64,10.168422302479286
512,32,64,128,9.550131262004095
512,32,128,32,9.975885230382723
512,32,128,64,10.936058186544951
512,32,128,128,10.093257868615254
512,64,32,32,9.302041722630113
512,64,32,64,10.047726073218758
512,64,32,128,10.000996203023423
512,64,64,32,10.051626642987996
512,64,64,64,10.019343516941198
512,64,64,128,10.028086984922924
512,64,128,32,10.199612024845266
512,64,128,64,10.873143453260992
512,64,128,128,11.299946928276091
512,128,32,32,10.017172849231128
512,128,32,64,10.458159109857451
512,128,32,128,10.301568483848742
512,128,64,32,10.959820748929811
512,128,64,64,10.575020610415768
512,128,64,128,11.1712825731181
512,128,128,32,9.006279413944016
512,128,128,64,10.76590550289444
512,128,128,128,5.680117070055086
