dim_size,tM,tN,tK,tflops
2048,32,32,32,19.909752961810657
2048,32,32,64,20.768980474232116
2048,32,32,128,26.951494700251114
2048,32,64,32,29.312430931469272
2048,32,64,64,33.85289111898988
2048,32,64,128,32.710165009165024
2048,32,128,32,38.42215710640827
2048,32,128,64,38.209797689234556
2048,32,128,128,37.45776005203357
2048,64,32,32,30.547663952317734
2048,64,32,64,30.71421627324325
2048,64,32,128,26.887196001451553
2048,64,64,32,42.849393451449096
2048,64,64,64,47.34412699929206
2048,64,64,128,43.44725115466395
2048,64,128,32,47.42451958421882
2048,64,128,64,45.833859324398645
2048,64,128,128,49.858359820238036
2048,128,32,32,38.53084529136175
2048,128,32,64,38.64380336474529
2048,128,32,128,34.31789816621783
2048,128,64,32,46.25702102252895
2048,128,64,64,39.36023505969931
2048,128,64,128,51.862479563439216
2048,128,128,32,33.53061838030322
2048,128,128,64,54.48149685163119
2048,128,128,128,21.231035055053905
