dim_size,tM,tN,tK,tflops
8192,32,32,32,6.456082123073285
8192,32,32,64,6.447364521015746
8192,32,32,128,6.43812671936017
8192,32,64,32,7.57372416390934
8192,32,64,64,7.375364070221586
8192,32,64,128,7.269093826168814
8192,32,128,32,7.7655842245729465
8192,32,128,64,7.353852472820468
8192,32,128,128,7.1596778271423585
8192,64,32,32,12.508246431722805
8192,64,32,64,12.387321668915849
8192,64,32,128,12.603755058342989
8192,64,64,32,13.928688369947555
8192,64,64,64,13.797250443294436
8192,64,64,128,13.908220245097786
8192,64,128,32,15.079009307384313
8192,64,128,64,13.77221030883629
8192,64,128,128,13.966210689667733
8192,128,32,32,23.291631734923232
8192,128,32,64,23.203894018600806
8192,128,32,128,23.14198302320618
8192,128,64,32,26.784903312377583
8192,128,64,64,19.471258445831943
8192,128,64,128,26.485631448029967
8192,128,128,32,20.68530779418458
8192,128,128,64,26.1034775447495
8192,128,128,128,17.322090270955762
