dim_size,tM,tN,tK,tflops
256,32,32,32,2.6778966406280262
256,32,32,64,2.7273803452713015
256,32,32,128,2.7188228916543205
256,32,64,32,3.1578584668415774
256,32,64,64,3.2647703449296284
256,32,64,128,3.231074572722556
256,32,128,32,3.2584725132274808
256,32,128,64,3.279866576310371
256,32,128,128,3.2730900878152975
256,64,32,32,2.990008191561636
256,64,32,64,3.068070195333753
256,64,32,128,3.1015047093007735
256,64,64,32,3.2274589344278217
256,64,64,64,3.2684777994324503
256,64,64,128,3.2769181553891387
256,64,128,32,3.142971501937965
256,64,128,64,3.2543422673080755
256,64,128,128,3.2736955442537523
256,128,32,32,3.1051628551628556
256,128,32,64,3.268353374208544
256,128,32,128,3.2627759773274105
256,128,64,32,3.042212224831635
256,128,64,64,2.732749743278013
256,128,64,128,3.271057945239859
256,128,128,32,2.3410623023152124
256,128,128,64,2.7250962116588924
256,128,128,128,1.6282686177069727
