N,TFLOPS
17,1.1372034880924953
18,4.962110662500739
19,5.2026572702397464
20,5.446391959773624
21,5.703596707922757
22,5.983100911203672
23,6.249662930834543
24,6.490162510076983
25,6.68877204612551
26,7.018346463278676
27,7.197370352106578
28,7.54643505811341
29,7.701194300357595
30,8.067921786896216
31,8.218996023243678
32,8.550520954973644
33,6.209616359280639
34,8.411097193310098
35,8.700875236503077
36,8.839516275548814
37,9.063036400497424
38,9.390411133866259
39,9.467497768268936
40,9.736731335557456
41,9.988123626594241
42,10.287952164331287
43,10.445870733618067
44,10.730663612274336
45,10.89936211488361
46,11.037968913777904
47,11.353505134641289
48,11.615532644421965
49,11.862541487429366
50,12.017493127853113
51,12.225152160126108
52,12.434854825342361
53,12.68959724279244
54,12.916294729222615
55,13.146054923306437
56,13.372142686816142
57,13.524326420787943
58,13.806823186537777
59,13.900275587935365
60,14.184390850119502
61,14.432865473106027
62,14.615517738934201
63,14.795322758209602
64,15.143312471192854
65,10.819588682769766
66,13.666749806546152
67,13.651332351646365
68,13.87544254384914
69,14.06126998090049
70,14.251110167239593
71,14.344439489330904
72,14.616516233209547
73,14.605062588060395
74,14.938893784523833
75,15.14974013755066
76,15.271282771594949
77,15.49971418891479
78,15.661213026260224
79,15.608799244615
80,16.029987351402873
81,16.05179994562588
82,16.30578472546745
83,16.62545109910511
84,16.755818208015313
85,16.858137763104164
86,16.973905894681995
87,17.230362661332858
88,17.33933419474353
89,17.62723189475602
90,17.773651535087712
91,17.917390824021815
92,18.044807589567085
93,18.331658677166736
94,18.4449887788705
95,18.554715577627267
96,18.66392606335264
97,18.989585365531312
98,19.13906996011836
99,19.26042299024561
100,19.535356130683514
101,19.640403273714895
102,19.76871818089822
103,19.929149617238476
104,20.082257389818857
105,20.41406281580485
106,20.50829503983679
107,20.595513936935497
108,20.806982404181685
109,20.94949739845182
110,21.161379281404944
111,21.279301490888155
112,21.482722428514244
113,21.604457370616032
114,21.92621757064505
115,21.96841428946521
116,22.079117252072567
117,22.278558550796433
118,22.38065696320478
119,22.63457245641907
120,22.7336090357088
121,22.77909539092461
122,23.147932296580993
123,23.226541868600968
124,23.37566609759563
125,23.398001653954942
126,23.678588660125506
127,23.88930707095367
128,24.083293023347736
