K,TFLOPS,tK
17,2.7469885676488413,8
18,2.13094002302025,16
19,2.2468821368988783,16
20,2.3603215600182694,16
21,2.475911292963841,16
22,2.593961526327436,16
23,2.703055792474994,16
24,6.689322054852858,16
25,2.937081337841084,16
26,3.0510418705016438,16
27,3.174060911321068,16
28,3.2865464244654423,16
29,3.40067365883943,16
30,3.511019476641637,16
31,3.6280288895112625,16
32,8.888439160410028,16
33,2.5256959511437787,16
34,2.4811021277085876,32
35,2.554652621629452,32
36,2.622523489130146,32
37,2.6975501294938202,32
38,2.7716597187895515,32
39,2.843248597183955,32
40,9.495923741602342,32
41,2.9801174268105157,32
42,3.0516280412985903,32
43,3.125505560151964,32
44,3.1984762237620092,32
45,3.2685969056346793,32
46,3.347027089450317,32
47,3.412622467278117,32
48,11.335712452635512,32
49,2.9937033596488445,32
50,2.6449972640645307,32
51,3.1094358115591763,32
52,2.5616962532398717,32
53,2.7865760358125287,32
54,2.8418455958359004,32
55,3.1113973576214287,32
56,12.739730119847422,32
57,2.821383889509884,32
58,2.8653265244990074,32
59,2.911727624883984,32
60,2.9459424214185326,32
61,3.005633686789033,32
62,3.047044274157083,32
63,3.091399390038078,32
64,14.872542475108053,32
65,2.849326320778194,32
66,3.7219463994214097,64
67,3.7821390070640475,64
68,3.832959562972833,64
69,3.895668628821658,64
70,3.9465723088607136,64
71,4.00452010830043,64
72,10.934633108205565,64
73,4.103193739014285,64
74,4.158330181017511,64
75,4.21961776939775,64
76,4.273892783753765,64
77,4.326128249604011,64
78,4.379684223700881,64
79,4.43988161181035,64
80,13.606220092080257,64
81,3.9681440193814814,64
82,3.588547641778657,64
83,3.62497438963959,64
84,3.6448553645453905,64
85,3.507321221509919,64
86,3.7304566314465677,64
87,4.025631863520574,64
88,13.475430332761846,64
89,3.6554662770144994,64
90,3.6889434130484444,64
91,3.747061564946431,64
92,3.7710159404595296,64
93,3.817205456558587,64
94,3.849468842793125,64
95,3.890809947595632,64
96,16.221618573768783,64
97,3.970556275356748,64
98,4.031557329835718,64
99,4.06397302171041,64
100,4.096972019029272,64
101,4.144456253163077,64
102,4.183314718709734,64
103,4.220815412042614,64
104,15.49840719672043,64
105,4.290160615182763,64
106,4.341968495239381,64
107,4.371032147862629,64
108,4.4084774495607055,64
109,4.45676669389858,64
110,4.484947342116457,64
111,4.512575649592969,64
112,18.259985288864197,64
113,4.604935915118378,64
114,4.644303925803,64
115,4.688127239098112,64
116,4.742384713488514,64
117,4.757860327164245,64
118,4.788654781003465,64
119,4.846669425306375,64
120,17.564995207480344,64
121,4.911425102701238,64
122,4.965147999685941,64
123,4.993721813909362,64
124,5.03976816235176,64
125,5.0825612874168105,64
126,5.122604884502751,64
127,5.165522010417312,64
128,21.20605005049237,64
